url,row_count,traceability_status,http_status,content_type,is_pdf_source,backup_kind,has_local_pdf,local_paths
https://ehs.ncsu.edu/laboratory/fume-hoods/,1,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\NCSU-FUME-HOODS_fume-hoods.html
https://ehs.princeton.edu/laboratory-research/chemical-waste-management,1,blocked_or_forbidden,403,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\PRINCETON-CHEM-WASTE_chemical-waste-management.html
https://ehs.stanford.edu/forms-tools/chemical-incompatibility-guide,2,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.stanford.edu/forms-tools/laboratory-chemical-safety-toolkit,1,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\STANFORD-CHEM-TOOLKIT_laboratory-chemical-safety-toolkit.html
https://ehs.stanford.edu/manual/biosafety-manual/autoclaves,2,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.stanford.edu/manual/biosafety-manual/waste,5,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\STANFORD-BIO-WASTE_waste.html
https://ehs.stanford.edu/manual/laboratory-standard-design-guidelines/biological-safety-cabinets-and-other-containment,2,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.stanford.edu/manual/laboratory-standard-design-guidelines/fume-hood-location,1,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\STANFORD-FUME-HOOD_fume-hood-location.html
https://ehs.stanford.edu/reference/autoclave-safety,3,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.stanford.edu/reference/centrifuge-safety,3,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.stanford.edu/reference/information-hydrofluoric-acid,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.stanford.edu/reference/working-air-sensitive-or-highly-reactive-compounds,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.stanford.edu/topic/chemical-safety/chemical-waste-disposal,4,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\STANFORD-CHEM-WASTE_chemical-waste-disposal.html
https://ehs.stanford.edu/topic/radiation-safety/laser-safety,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.stanford.edu/wp-content/uploads/Storage-Group-Poster.pdf,6,open,200,application/pdf,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\006_ehs.stanford.edu_12afb031b6_Storage-Group-Poster.pdf
https://ehs.stanford.edu/wp-content/uploads/lab-chemical-safety-plan.pdf,11,open,200,application/pdf,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\002_ehs.stanford.edu_3ee5976b86_lab-chemical-safety-plan.pdf
https://ehs.stonybrook.edu/_pdfs/EHS_Policy_4.5_Laboratory_Chemical_Fume_Hood_Safety_Program.pdf,1,open,200,application/pdf,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\039_ehs.stonybrook.edu_92d2ec072f_EHS_Policy_4.5_Laboratory_Chemical_Fume_Hood_Safety_Program.pdf
https://ehs.stonybrook.edu/programs/laboratory-safety/chemical-safety/compressed-gas-and-cryogenics,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.utexas.edu/environment-waste/waste-management/chemical-waste,23,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\UTEXAS-CHEM-WASTE_chemical-waste.html
https://ehs.utexas.edu/working-safely/equipment-safety/cryogens,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.utexas.edu/working-safely/equipment-safety/fume-hoods,7,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\UTEXAS-FUME-HOODS_fume-hoods.html
https://ehs.yale.edu/art-safety,9,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\YALE-ART-SAFETY_art-safety.html
https://ehs.yale.edu/shop-tool-safety,7,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\YALE-SHOP-GUIDE_shop-tool-safety.html
https://ehs.yale.edu/sites/default/files/files/biosafety-cabinet-poster.pdf,1,open,200,text/html; charset=UTF-8,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\YALE-BSC-POSTER_biosafety-cabinet-poster.pdf.pdf
https://ehs.yale.edu/sites/default/files/files/biosafety-manual.pdf,1,open,200,text/html; charset=UTF-8,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\repl_001_ehs.yale.edu_68ba2299cb_biosafety-manual.pdf
https://ehs.yale.edu/sites/default/files/files/chemicals-ehs-approval.pdf,8,open,200,text/html; charset=UTF-8,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\YALE-CHEM-APPROVAL_chemicals-ehs-approval.pdf.pdf
https://ehs.yale.edu/sites/default/files/files/fume-hood-repair-notice.pdf,3,open,200,text/html; charset=UTF-8,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\YALE-FUME-HOOD-NOTICE_fume-hood-repair-notice.pdf.pdf
https://ehs.yale.edu/sites/default/files/files/gene-drive-modified-organisms.pdf,8,open,200,text/html; charset=UTF-8,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\YALE-GENE-DRIVE_gene-drive-modified-organisms.pdf.pdf
https://ehs.yale.edu/sites/default/files/files/laboratory-chemical-hygiene-plan.pdf,75,open,200,text/html; charset=UTF-8,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\YALE-CHP_laboratory-chemical-hygiene-plan.pdf.pdf
https://ehs.yale.edu/sites/default/files/files/laser-sop.pdf,4,open,200,text/html; charset=UTF-8,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\YALE-LASER-SOP_laser-sop.pdf.pdf
