"priority","traceability_status","http_status","affected_row_count","domain","source_orgs","sample_source_title","sample_ids","url","final_url","error","manual_result","manual_access_time","reviewer","evidence_note","recommended_action"
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Storage of flammable liquids and corrosives in the same cabinet","KB-PHASE4-0029","https://www.osha.gov/laws-regs/standardinterpretations/2001-03-23-0","https://www.osha.gov/laws-regs/standardinterpretations/2001-03-23-0","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Applicability of the PSM standard to a flammable liquid manufacturing process","KB-PHASE4-0036","https://www.osha.gov/laws-regs/standardinterpretations/1999-07-09","https://www.osha.gov/laws-regs/standardinterpretations/1999-07-09","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Water-Reactive Chemicals, Hazardous Materials Not Covered Under 29 CFR 1910.119","KB-PHASE4-0004","https://www.osha.gov/publications/hib19960703","https://www.osha.gov/publications/hib19960703","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Transitioning to Safer Chemicals: A Toolkit for Employers and Workers","KB-PHASE4-0067","https://www.osha.gov/safer-chemicals","https://www.osha.gov/safer-chemicals","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","OSHA (Occupational Safety and Health Administration)","Fire Protection and Prevention","KB-RECO-0419","https://www.osha.gov/sites/default/files/2019-03/fireprotection.pdf","https://www.osha.gov/sites/default/files/2019-03/fireprotection.pdf","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration","OSHA Job Hazard Analysis Worksheet","KB-RECO-0247","https://www.osha.gov/sites/default/files/Job_Hazard_Analysis_Worksheet.pdf","https://www.osha.gov/sites/default/files/Job_Hazard_Analysis_Worksheet.pdf","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration","OSHA Job Hazard Analysis Training","KB-RECO-0218","https://www.osha.gov/sites/default/files/activities_jha_training.pptx","https://www.osha.gov/sites/default/files/activities_jha_training.pptx","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","CPSC versus HCS 2012 labeling requirements","KB-PHASE4-0039","https://www.osha.gov/laws-regs/standardinterpretations/2014-05-12","https://www.osha.gov/laws-regs/standardinterpretations/2014-05-12","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration","OSHA Accident Report UCLA Laboratory Fire","KB-RECO-0299","https://www.osha.gov/ords/imis/accidentsearch.accident_detail?id=202541223","https://www.osha.gov/ords/imis/accidentsearch.accident_detail?id=202541223","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration","OSHA Chemical Sampling Information - 氧气(Oxygen)","KB-CHEM2-0026","https://www.osha.gov/chemicaldata/420","https://www.osha.gov/chemicaldata/420","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Toluene - Occupational Exposure Limits","KB-PHASE4-0007","https://www.osha.gov/toluene/occupational-exposure-limits","https://www.osha.gov/toluene/occupational-exposure-limits","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration","OSHA Chemical Sampling Information - 氢氧化钠(Sodium Hydroxide)","KB-CHEM2-0006","https://www.osha.gov/chemicaldata/528","https://www.osha.gov/chemicaldata/528","","","","","",""
