url,traceability_status,http_status,row_count,source_orgs,sample_source_title,sample_ids,final_url,content_type,bytes_sampled,error
https://sdss-samplepreparation.stanford.edu/training-and-safety,open,200,3,Stanford University,Stanford Sample Preparation Lab Training,KB-RECO-0203;KB-RECO-0245;KB-RECO-0271,https://sdss-samplepreparation.stanford.edu/training-and-safety,text/html; charset=UTF-8,26237,
https://smse.seu.edu.cn/_upload/article/2f/f2/c82ef33b4b0fa7e37d28e6e784be/e1702a0e-d3c7-4843-9d57-8a4c24093f9d.pdf,open,200,3,Bruker AXS,D8 X-ray Diffractometer Vol.I - General Safety Precautions,KB-PHASE4-0515;KB-PHASE4-0518;KB-PHASE4-0521,https://smse.seu.edu.cn/_upload/article/2f/f2/c82ef33b4b0fa7e37d28e6e784be/e1702a0e-d3c7-4843-9d57-8a4c24093f9d.pdf,application/pdf,65536,
https://spectrum.ieee.org/electrostatic-discharge,open,200,1,Institute of Electrical and Electronics Engineers (IEEE),Protecting Electronics Against Electrostatic Discharge,KB-RECO-0158,https://spectrum.ieee.org/electrostatic-discharge,text/html; charset=utf-8,65536,
https://stacks.cdc.gov/view/cdc/214551/cdc_214551_DS1.pdf,open,200,1,Centers for Disease Control and Prevention (CDC) / NIOSH,Acute Chemical Emergencies - Chemical Burns Management,KB-PHASE4-0275,https://stacks.cdc.gov/view/cdc/214551/cdc_214551_DS1.pdf,application/pdf,65536,
https://sysglc.ntu.edu.cn/2024/0326/c8767a230277/page.htm,open,200,2,教育部,高等学校实验室消防安全管理规范,KB-1032;KB-1033,https://sysglc.ntu.edu.cn/2024/0326/c8767a230277/page.htm,text/html,69415,
https://sysglzx.jxycu.edu.cn/2024/0619/c4101a129320/page.htm,open,200,1,宜春学院实验室管理中心,宜春学院实验室危险化学品、易制毒化学品管理办法,WEBX-031-001,https://sysglzx.jxycu.edu.cn/2024/0619/c4101a129320/page.psp,text/html;charset=UTF-8,43204,
https://tools.thermofisher.com/content/sfs/manuals/iCAP%206000%20Spectrometers%20Pre-Installation%20Manual%20v4%202.pdf,blocked_or_forbidden,403,1,Thermo Fisher Scientific,iCAP 6000 Series ICP-OES Pre-Installation Manual,KB-PHASE4-0457,https://tools.thermofisher.com/content/sfs/manuals/iCAP%206000%20Spectrometers%20Pre-Installation%20Manual%20v4%202.pdf,text/html,508,
https://tuttnauer.com/sites/default/files/2021-10/Manual-Autoclaves-Cleaning_Weekly.pdf,open,200,1,Tuttnauer,Tuttnauer Autoclave Maintenance Guide,KB-PHASE4-0567,https://tuttnauer.com/sites/default/files/2021-10/Manual-Autoclaves-Cleaning_Weekly.pdf,application/pdf,65536,
https://tuttnauer.com/us/support/faq-office-products,open,200,1,Tuttnauer,Tuttnauer Autoclave Safety Operation,KB-PHASE4-0566,https://tuttnauer.com/us/support/faq-office-products,text/html; charset=UTF-8,65536,
https://webstore.ansi.org/standards/aiha/ansiz9.5,blocked_or_forbidden,403,1,ANSI/AIHA,ANSI/AIHA Z9.5-2012 Laboratory Ventilation,KB-PHASE4-0803,https://webstore.ansi.org/standards/aiha/ansiz9.5,text/html; charset=UTF-8,5818,
https://webstore.ansi.org/standards/lia/ansiz13612014,blocked_or_forbidden,403,1,American National Standards Institute,ANSI Z136.1-2014 American National Standard for Safe Use of Lasers,KB-PHASE4-0761,https://webstore.ansi.org/standards/lia/ansiz13612014,text/html; charset=UTF-8,5851,
https://webstore.iec.ch/publication/3587,open,200,1,IEC,IEC 60825-1:2014 Safety of laser products,KB-RECO-0376,https://webstore.iec.ch/en/publication/3587,text/html; charset=UTF-8,66403,
